created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-22T15:12:43+00:00,76,23.6,0,6,25.129101,55.386482,-105,8.0,0,,,,
2025-11-22T15:12:58+00:00,77,23.6,0,6,25.129101,55.386482,-105,8.0,0,,,,
2025-11-22T15:13:13+00:00,78,24.0,0,6,25.12991,55.386635,-102,9.0,0,,,,
2025-11-22T15:13:28+00:00,79,23.6,0,6,25.129446,55.386459,-98,8.25,0,,,,
2025-11-22T15:13:43+00:00,80,23.9,0,3,25.128807,55.386158,-102,9.0,0,,,,
2025-11-22T15:13:58+00:00,81,23.9,0,3,25.128807,55.386158,-102,9.0,0,,,,
2025-11-22T15:14:13+00:00,82,23.6,0,2,25.128246,55.385807,-97,9.0,0,,,,
2025-11-22T15:14:28+00:00,83,23.6,0,2,25.128246,55.385807,-97,9.0,0,,,,
2025-11-22T15:14:43+00:00,84,23.7,0,14,25.12751,55.385365,-100,9.0,0,,,,
2025-11-22T15:14:58+00:00,85,23.9,0,7,25.126516,55.384769,-73,9.25,0,,,,
2025-11-22T15:15:13+00:00,86,23.6,0,4,25.126156,55.384556,-84,9.5,0,,,,
2025-11-22T15:15:28+00:00,87,23.5,0,5,25.125574,55.384212,-74,9.25,0,,,,
2025-11-22T15:15:43+00:00,88,23.5,0,5,25.125574,55.384212,-74,9.25,0,,,,
2025-11-22T15:15:58+00:00,89,23.4,0,4,25.125376,55.384094,-86,9.25,0,,,,
2025-11-22T15:16:13+00:00,90,23.8,0,3,25.125196,55.383823,-81,9.25,0,,,,
2025-11-22T15:16:28+00:00,91,23.1,0,4,25.125378,55.38335,-92,9.0,0,,,,
2025-11-22T15:16:43+00:00,92,23.6,0,1,25.125582,55.382885,-93,9.0,0,,,,
2025-11-22T15:16:58+00:00,93,23.1,0,3,25.125881,55.381931,-95,9.5,0,,,,
2025-11-22T15:17:13+00:00,94,23.1,0,5,25.126284,55.381283,-103,8.5,0,,,,
2025-11-22T15:17:28+00:00,95,23.3,0,5,25.126854,55.380703,-108,7.75,0,,,,
2025-11-22T15:17:43+00:00,96,23.3,0,3,25.127798,55.380177,-104,8.75,0,,,,
2025-11-22T15:17:58+00:00,97,23.8,0,5,25.129028,55.380192,-110,6.25,0,,,,
2025-11-22T15:18:13+00:00,98,23.3,0,2,25.129429,55.380375,-110,5.75,0,,,,
2025-11-22T15:18:28+00:00,99,23.5,0,0,25.129808,55.380627,-115,3.25,0,,,,
2025-11-22T15:18:43+00:00,100,23.9,0,0,25.133966,55.382816,-117,1.75,0,,,,
2025-11-22T15:18:58+00:00,101,24.5,0,4,25.134958,55.383274,-115,-0.5,0,,,,
2025-11-22T15:19:13+00:00,102,23.7,0,0,25.135241,55.383625,-114,4.5,0,,,,
2025-11-22T15:19:28+00:00,103,24.1,0,4,25.134819,55.385582,-117,-0.75,0,,,,
2025-11-22T15:19:43+00:00,104,24.1,0,3,25.133186,55.388283,-118,-1.75,0,,,,
2025-11-22T15:19:58+00:00,105,24.2,0,1,25.130558,55.393501,-118,-0.75,0,,,,
2025-11-22T15:20:13+00:00,106,24.2,0,2,25.130905,55.393074,-113,-0.25,0,,,,
2025-11-22T15:20:29+00:00,107,24.1,0,12,25.131296,55.39238,-118,-1.75,0,,,,
2025-11-22T15:21:55+00:00,108,24.6,0,3,25.126898,55.39114,-110,6.0,0,,,,
2025-11-22T15:22:10+00:00,109,24.2,0,1,25.126705,55.391235,-113,3.0,0,,,,
2025-11-22T15:22:25+00:00,110,24.0,0,3,25.126137,55.391705,-107,7.5,0,,,,
2025-11-22T15:22:40+00:00,111,24.5,0,5,25.126005,55.39159,-114,1.25,0,,,,
2025-11-22T15:22:55+00:00,112,24.3,0,0,25.126005,55.39159,-114,1.25,0,,,,
2025-11-22T15:23:10+00:00,113,24.2,0,0,25.125208,55.394184,-118,-8.25,0,,,,
2025-11-22T15:23:25+00:00,114,24.5,0,3,25.125132,55.394623,-119,-7.5,0,,,,
2025-11-22T15:24:11+00:00,115,24.1,0,2,25.127092,55.395905,-115,-1.25,0,,,,
2025-11-22T15:25:04+00:00,116,24.1,0,3,25.126289,55.395947,-118,-5.75,0,,,,
2025-11-22T15:25:27+00:00,117,24.1,0,6,25.126219,55.396042,-117,-4.0,0,,,,
2025-11-22T15:25:42+00:00,118,24.1,0,6,25.126219,55.396042,-117,-4.0,0,,,,
2025-11-22T15:25:57+00:00,119,24.0,0,6,25.126219,55.396042,-117,-7.25,0,,,,
2025-11-22T15:26:12+00:00,120,24.0,0,6,25.126219,55.396042,-117,-7.25,0,,,,
2025-11-22T15:33:09+00:00,121,23.8,0,11,25.126419,55.396042,-116,-5.75,0,,,,
2025-11-22T15:37:14+00:00,122,24.0,0,6,25.123081,55.389198,-119,-5.5,0,,,,
2025-11-22T15:37:29+00:00,123,23.9,0,8,25.123081,55.389198,-120,-7.0,0,,,,
2025-11-22T15:37:44+00:00,124,23.9,0,8,25.123081,55.389198,-120,-7.0,0,,,,
2025-11-22T15:37:59+00:00,125,23.9,0,9,25.123081,55.389198,-120,-7.75,0,,,,
2025-11-22T15:38:14+00:00,126,236.0,0,5,25.123081,55.389198,-96,9.5,0,,,,
2025-11-22T15:38:29+00:00,127,23.8,0,9,25.123081,55.389198,-93,9.5,0,,,,
2025-11-22T15:38:44+00:00,128,23.3,0,7,25.123081,55.389198,-100,8.0,0,,,,
2025-11-22T15:38:59+00:00,129,24.1,0,5,25.123081,55.389198,-86,9.25,0,,,,
